train_losses,train_accuracies,val_losses,val_accuracies
"[3.1120896963846114, 2.2145432971772694, 1.7645213632356553, 1.5029126916612898, 1.4445249040921528, 1.3199615223067147, 1.244655538172949, 1.2219937103135246, 1.1116215969835008, 0.9313843221891493, 0.9025930790674119, 0.7999973808016095, 0.702491853208769, 0.7157908947694869, 0.6545242503994987, 0.577652419252055, 0.5825734968696322, 0.5298751379762378, 0.40877684347686316, 0.40382289567164015, 0.33712401808727355, 0.34238876970041365, 0.3092984617466018, 0.2833913873348917, 0.2662974808897291, 0.21753028230298133, 0.21787084727769807, 0.19674827406803766, 0.183060848819358, 0.1908489971288613]","[0.19469696283340454, 0.3791666626930237, 0.44545453786849976, 0.5303030014038086, 0.541287899017334, 0.581818163394928, 0.5890151262283325, 0.612500011920929, 0.6371212005615234, 0.7022727131843567, 0.7060605883598328, 0.7416666746139526, 0.7806817889213562, 0.771212100982666, 0.7988636493682861, 0.8193181753158569, 0.8265151381492615, 0.8303030133247375, 0.8685606122016907, 0.8840909004211426, 0.898106038570404, 0.9068182110786438, 0.9102272987365723, 0.9280303120613098, 0.9291666746139526, 0.939393937587738, 0.9386363625526428, 0.9477272629737854, 0.9526515007019043, 0.9454545378684998]","[3.1027932167053223, 2.2451558113098145, 2.14932005405426, 2.0810989856719972, 2.4074269771575927, 2.066666531562805, 2.450862503051758, 2.5603073120117186, 2.1563544988632204, 2.4020700693130492, 2.1518269896507265, 1.8526719808578491, 2.3945902824401855, 1.5634801626205443, 2.0470786571502684, 1.5157790780067444, 1.7169304728507995, 1.4550822854042054, 1.3855588018894196, 1.4337607502937317, 1.3885401248931886, 1.1920505344867707, 1.3237964689731598, 1.2331730902194977, 1.1868630707263947, 1.3519798159599303, 1.2677569210529327, 1.1827644169330598, 1.2023770570755006, 1.2630985140800477]","[0.125, 0.34121620655059814, 0.34121620655059814, 0.3952702581882477, 0.3243243098258972, 0.3581081032752991, 0.375, 0.3310810923576355, 0.38513514399528503, 0.37162160873413086, 0.41554054617881775, 0.4831081032752991, 0.45945945382118225, 0.5304054021835327, 0.4797297418117523, 0.5574324131011963, 0.5168918967247009, 0.6047297120094299, 0.5844594836235046, 0.5979729890823364, 0.6351351141929626, 0.6824324131011963, 0.6216216087341309, 0.6655405163764954, 0.6587837934494019, 0.6283783912658691, 0.6520270109176636, 0.6520270109176636, 0.6554054021835327, 0.6317567825317383]"
"[3.2667043038776944, 2.5280643360955373, 2.093713851202102, 1.7861662421907698, 1.6152301175253732, 1.4528003959428697, 1.3339836228461492, 1.294413978145236, 1.1063244527294522, 0.9004008074601492, 0.8528543327535901, 0.7969826757907867, 0.7207594137816202, 0.6985481984558559, 0.6118869142872947, 0.5738786373819623, 0.5538370346739179, 0.522741769750913, 0.48633076605342684, 0.4169507722059886, 0.41548845100970494, 0.36144278730664936, 0.3387354722335225, 0.29804929345846176, 0.26147368408384775, 0.24352114044484638, 0.2338487988426572, 0.2269549011474564, 0.23463934606739453, 0.23185624537013827]","[0.1878787875175476, 0.3117424249649048, 0.4166666567325592, 0.47537878155708313, 0.49810606241226196, 0.5416666865348816, 0.5840908885002136, 0.5996212363243103, 0.6534090638160706, 0.7257575988769531, 0.7382575869560242, 0.7568181753158569, 0.7852272987365723, 0.7791666388511658, 0.8196969628334045, 0.8253787755966187, 0.8386363387107849, 0.8454545736312866, 0.8583333492279053, 0.8818181753158569, 0.8738636374473572, 0.9015151262283325, 0.8999999761581421, 0.9204545617103577, 0.9352272748947144, 0.9397727251052856, 0.9401515126228333, 0.9446969628334045, 0.9390151500701904, 0.9469696879386902]","[3.1009402751922606, 2.6254006385803224, 2.26420259475708, 2.651775336265564, 2.0334641695022584, 1.8462106466293335, 1.8497234344482423, 1.8474531412124633, 1.7993117332458497, 1.7808037996292114, 1.553232228755951, 1.4850944995880127, 1.4952395915985108, 1.5430152535438537, 1.5054647088050843, 1.5036532640457154, 1.3895336151123048, 1.577762484550476, 1.1600214958190918, 1.3509167373180389, 1.1213348925113678, 1.201057380437851, 1.090830886363983, 1.105907380580902, 1.1096972405910492, 1.0519701004028321, 1.0465019524097443, 1.1272627532482147, 1.070348083972931, 1.0466331958770752]","[0.19256757199764252, 0.29729729890823364, 0.3310810923576355, 0.3006756901741028, 0.40878379344940186, 0.46621620655059814, 0.41554054617881775, 0.45270270109176636, 0.46621620655059814, 0.4797297418117523, 0.5067567825317383, 0.5608108043670654, 0.6047297120094299, 0.5777027010917664, 0.5912162065505981, 0.6081081032752991, 0.625, 0.5337837934494019, 0.6351351141929626, 0.5945945978164673, 0.6824324131011963, 0.6554054021835327, 0.6925675868988037, 0.6858108043670654, 0.6790540814399719, 0.6925675868988037, 0.7027027010917664, 0.6587837934494019, 0.6756756901741028, 0.6689189076423645]"
"[3.0994085527601696, 2.2415026738530113, 1.7291287921723866, 1.4562623330524989, 1.3722265831061773, 1.2628417582738967, 1.1934687268166315, 1.1100366796766008, 0.9600866408575148, 0.9136775973297301, 0.8171988711470649, 0.6995865078199477, 0.6739550268366223, 0.67351205434118, 0.540725435884226, 0.4545924837390582, 0.45597269315095174, 0.4411095653971036, 0.4223095306328365, 0.37476520027433124, 0.3074498146417595, 0.2633683392334552, 0.2655461577787286, 0.22862461014162927, 0.18282947157110488, 0.19808288166920343, 0.16765786645313105, 0.17113105438294865, 0.15810723460855938, 0.15302993995802744]","[0.18409091234207153, 0.3685606122016907, 0.4674242436885834, 0.5284090638160706, 0.571212112903595, 0.605681836605072, 0.6170454621315002, 0.6431818008422852, 0.6909090876579285, 0.7162878513336182, 0.7416666746139526, 0.7727272510528564, 0.7962121367454529, 0.784469723701477, 0.8223484754562378, 0.8613636493682861, 0.8560606241226196, 0.8693181872367859, 0.8780303001403809, 0.8909090757369995, 0.9106060862541199, 0.9155303239822388, 0.9212121367454529, 0.9310606122016907, 0.9484848380088806, 0.9492424130439758, 0.9556818008422852, 0.9571969509124756, 0.9590908885002136, 0.9590908885002136]","[3.113305902481079, 2.4940954208374024, 2.367021071910858, 2.25837185382843, 2.1531352043151855, 2.704976749420166, 3.807499313354492, 1.5397510647773742, 2.548456239700317, 2.280469226837158, 1.6665181636810302, 1.5663371324539184, 2.1043100357055664, 1.7915648937225341, 1.9785327911376953, 1.4465138792991639, 1.6295273542404174, 1.4280363976955415, 1.520930278301239, 1.635397481918335, 1.253156352043152, 1.4479159653186797, 1.2027328491210938, 1.2487504363059998, 1.226062387228012, 1.266638207435608, 1.3004561364650726, 1.3401768922805786, 1.249672496318817, 1.3170190453529358]","[0.14527027308940887, 0.32770270109176636, 0.3513513505458832, 0.32094594836235046, 0.375, 0.31418919563293457, 0.2128378450870514, 0.5168918967247009, 0.36486485600471497, 0.37162160873413086, 0.4932432472705841, 0.5540540814399719, 0.4628378450870514, 0.5101351141929626, 0.5, 0.625, 0.5540540814399719, 0.5979729890823364, 0.6148648858070374, 0.5945945978164673, 0.6351351141929626, 0.5641891956329346, 0.6520270109176636, 0.6283783912658691, 0.6486486196517944, 0.6655405163764954, 0.6317567825317383, 0.6182432174682617, 0.6452702879905701, 0.6351351141929626]"
"[3.0411300034750077, 2.136254988965534, 1.554940721818379, 1.3416907389958699, 1.2204358520961942, 1.1385833294618697, 1.0706327983311243, 0.9084848548684802, 0.9338840033326831, 0.8677430223850977, 0.7616153217497326, 0.6576568150804156, 0.7000254683551335, 0.5222627889542353, 0.47432689936388106, 0.48043108234802884, 0.4534317705602873, 0.40284355942692074, 0.40126601535649525, 0.32789559183376177, 0.30629836306685493, 0.27457452246121, 0.23830275060165496, 0.21767227972547212, 0.17984478973916598, 0.16599069863912605, 0.15523642700697696, 0.15389220221411615, 0.1368821549805857, 0.13272756027678648]","[0.2132575809955597, 0.4117424190044403, 0.5253787636756897, 0.6015151739120483, 0.6215909123420715, 0.6439393758773804, 0.6556817889213562, 0.7128787636756897, 0.698106050491333, 0.7208333611488342, 0.771212100982666, 0.8007575869560242, 0.7882575988769531, 0.8401514887809753, 0.846969723701477, 0.8606060743331909, 0.8522727489471436, 0.8867424130439758, 0.8753787875175476, 0.8977272510528564, 0.907575786113739, 0.9193181991577148, 0.9329545497894287, 0.9378787875175476, 0.9477272629737854, 0.9571969509124756, 0.960606038570404, 0.9549242258071899, 0.9632575511932373, 0.9617424011230469]","[3.1052613735198973, 2.034815812110901, 2.1811317443847655, 2.5241466045379637, 2.8311083555221557, 2.2031779050827027, 2.378984034061432, 2.7227449893951414, 2.5446584463119506, 2.191879963874817, 2.169833517074585, 2.4563247680664064, 1.3733281016349792, 1.3947457075119019, 1.4646113634109497, 1.6879764795303345, 1.2748055577278137, 1.3050593614578248, 1.71558358669281, 1.4813498497009276, 1.3373897552490235, 1.1963830590248108, 1.2690542578697204, 1.1886096239089965, 1.2820735454559327, 1.134317362308502, 1.1803675711154937, 1.1162399709224702, 1.1541327357292175, 1.1475899934768676]","[0.14864864945411682, 0.4054054021835327, 0.4054054021835327, 0.2668918967247009, 0.34121620655059814, 0.3614864945411682, 0.4493243098258972, 0.4189189076423645, 0.40878379344940186, 0.4864864945411682, 0.47297295928001404, 0.4425675570964813, 0.6081081032752991, 0.5945945978164673, 0.5979729890823364, 0.5439189076423645, 0.6385135054588318, 0.6283783912658691, 0.5168918967247009, 0.6216216087341309, 0.625, 0.6520270109176636, 0.6486486196517944, 0.6554054021835327, 0.6520270109176636, 0.6790540814399719, 0.6554054021835327, 0.6790540814399719, 0.6722972989082336, 0.6824324131011963]"
"[3.17789241813478, 2.33775726386479, 1.7888227161907015, 1.5243537766592843, 1.3851639131704967, 1.2715181424504234, 1.2641605663867224, 1.1678048812207722, 1.005123658549218, 0.8812850756304604, 0.8153178897641954, 0.7142677257458369, 0.6340570229859579, 0.6720209029458818, 0.64103921183518, 0.5652794696035839, 0.4916991963982582, 0.41835950031166985, 0.38022219354198095, 0.3653742844859759, 0.3467805570080167, 0.3229256932224546, 0.28086629864715396, 0.24742216510432108, 0.22814868940483957, 0.2041142083527077, 0.2168267181231862, 0.1997872455311673, 0.18181182577141694, 0.1749789598619654]","[0.17575757205486298, 0.3333333432674408, 0.4647727310657501, 0.5352272987365723, 0.5753787755966187, 0.595075786113739, 0.6026515364646912, 0.6321969628334045, 0.6761363744735718, 0.7215909361839294, 0.7310606241226196, 0.7715908885002136, 0.8049242496490479, 0.7962121367454529, 0.8007575869560242, 0.8208333253860474, 0.8484848737716675, 0.8734848499298096, 0.8818181753158569, 0.8909090757369995, 0.896212100982666, 0.9003787636756897, 0.9170454740524292, 0.9375, 0.9329545497894287, 0.9382575750350952, 0.9382575750350952, 0.9420454502105713, 0.9496212005615234, 0.9537878632545471]","[2.8932064056396483, 2.507100057601929, 2.3445836305618286, 1.9941250085830688, 2.1583940982818604, 2.730126881599426, 3.114857482910156, 1.9485306978225707, 2.4557624101638793, 1.712304162979126, 1.9651272296905518, 1.913693404197693, 1.8033644258975983, 2.0078132092952727, 1.8382100820541383, 1.3714560389518737, 1.473021638393402, 1.388978546857834, 1.5088058829307556, 1.5107329070568085, 1.4341538667678833, 1.6049013257026672, 1.230736780166626, 1.3435691356658936, 1.3288691818714142, 1.221613359451294, 1.2981691896915435, 1.2349317967891693, 1.3063701748847962, 1.307437252998352]","[0.18918919563293457, 0.27702704071998596, 0.38513514399528503, 0.45270270109176636, 0.3952702581882477, 0.2939189076423645, 0.28378379344940186, 0.5, 0.37162160873413086, 0.46621620655059814, 0.4932432472705841, 0.4932432472705841, 0.5472972989082336, 0.4932432472705841, 0.47297295928001404, 0.6114864945411682, 0.6114864945411682, 0.5945945978164673, 0.5641891956329346, 0.6148648858070374, 0.6182432174682617, 0.5945945978164673, 0.662162184715271, 0.6351351141929626, 0.6351351141929626, 0.6452702879905701, 0.6520270109176636, 0.6520270109176636, 0.6418918967247009, 0.6385135054588318]"
"[3.7254904167992726, 3.469908771060762, 3.4267359517869496, 3.4311420576913014, 3.4305450802757624, 3.33931641351609, 3.0432253735406056, 2.93133358728318, 2.867898838860648, 2.8264681100845337, 2.7176268725168136, 2.6323563825516474, 2.5913774172465005, 2.5273184322175526, 2.48815187386104, 2.4133814459755305, 2.275994502362751, 2.238504625502087, 2.1617701252301535, 2.1002592047055564, 2.092547064735776, 2.04394337109157, 1.9688464857283092, 1.9450676299276806, 1.940151001725878, 1.9240610968498957, 1.8651758659453619, 1.8646143334252494, 1.8703624577749343, 1.8409051582926796]","[0.07727272808551788, 0.09507575631141663, 0.10151515156030655, 0.10303030163049698, 0.09507575631141663, 0.11212120950222015, 0.15227273106575012, 0.17878787219524384, 0.19621212780475616, 0.19545455276966095, 0.22613635659217834, 0.23068182170391083, 0.24696969985961914, 0.2549242377281189, 0.2541666626930237, 0.28371211886405945, 0.31515151262283325, 0.31439393758773804, 0.33522728085517883, 0.34128788113594055, 0.3382575809955597, 0.3488636314868927, 0.3647727370262146, 0.37272727489471436, 0.38674241304397583, 0.3799242377281189, 0.4003787934780121, 0.39318183064460754, 0.4011363685131073, 0.4000000059604645]","[3.663985013961792, 3.5027208805084227, 3.508166217803955, 3.4975234508514403, 3.496733570098877, 3.191078805923462, 3.0809475421905517, 3.02366189956665, 3.174637508392334, 3.133889675140381, 2.9688311576843263, 3.0091309547424316, 2.7583189010620117, 2.831804656982422, 2.896363306045532, 2.7172635078430174, 2.6364285469055178, 2.500677156448364, 2.4949344635009765, 2.4337493896484377, 2.4768485546112062, 2.549751901626587, 2.3809401512146, 2.4248919010162355, 2.4185654640197756, 2.3998014450073244, 2.3442310810089113, 2.3638631820678713, 2.379766511917114, 2.3762761116027833]","[0.07432432472705841, 0.07432432472705841, 0.09797297418117523, 0.09797297418117523, 0.07432432472705841, 0.12837837636470795, 0.17229729890823364, 0.1689189225435257, 0.1689189225435257, 0.16554054617881775, 0.18918919563293457, 0.1621621549129486, 0.19256757199764252, 0.18918919563293457, 0.14864864945411682, 0.2128378450870514, 0.2736486494541168, 0.29054054617881775, 0.2567567527294159, 0.2871621549129486, 0.27702704071998596, 0.25, 0.2804054021835327, 0.2939189076423645, 0.27702704071998596, 0.2939189076423645, 0.2871621549129486, 0.27702704071998596, 0.2736486494541168, 0.26013514399528503]"
"[3.151647170384725, 2.1779185788972035, 1.5373043701762246, 1.183352346931185, 1.0006011639322554, 0.8611272062574115, 0.8750724976971036, 0.6576639215151469, 0.6236777270124072, 0.5791736039377394, 0.39139830640384127, 0.32058814877555486, 0.25759944497119813, 0.23212249825398126, 0.29124693217731656, 0.2727411226147697, 0.12808003995035375, 0.08071492488185565, 0.06415448621624992, 0.04280278379363673, 0.04275302318412633, 0.03813869914128667, 0.0476696010834227, 0.023361812500904005, 0.022145597829616497, 0.023378674461994143, 0.015031833445564621, 0.01452718491089486, 0.010577059932984412, 0.01120311661534721]","[0.18636363744735718, 0.3700757622718811, 0.5310605764389038, 0.6238636374473572, 0.6852272748947144, 0.7280303239822388, 0.7204545736312866, 0.7810605764389038, 0.810606062412262, 0.814393937587738, 0.8761363625526428, 0.8950757384300232, 0.918181836605072, 0.9291666746139526, 0.9159091114997864, 0.9234848618507385, 0.9666666388511658, 0.978787899017334, 0.9871212244033813, 0.9897727370262146, 0.9905303120613098, 0.9939393997192383, 0.9901515245437622, 0.9969696998596191, 0.9977272748947144, 0.9965909123420715, 0.9988636374473572, 0.9977272748947144, 0.9992424249649048, 0.9992424249649048]","[3.3494669914245607, 2.164046311378479, 1.9531667470932006, 2.0672094106674193, 2.1450976610183714, 2.79867205619812, 2.161469602584839, 2.1423572301864624, 2.6184357166290284, 1.8939424872398376, 1.9033838272094727, 2.1367064356803893, 2.033053183555603, 1.7897404432296753, 2.1565586805343626, 1.9278466939926147, 1.6645376801490783, 1.6972777247428894, 1.6404598355293274, 1.6810642242431642, 1.8109480500221253, 1.5847046732902528, 1.6123239040374755, 1.655024391412735, 1.7037472009658814, 1.7660575270652772, 1.679380077123642, 1.6731980621814728, 1.6809976398944855, 1.7492267727851867]","[0.11148648709058762, 0.31418919563293457, 0.40878379344940186, 0.4054054021835327, 0.34121620655059814, 0.375, 0.4189189076423645, 0.4560810923576355, 0.43918919563293457, 0.49662160873413086, 0.4797297418117523, 0.45945945382118225, 0.5439189076423645, 0.5608108043670654, 0.46621620655059814, 0.5067567825317383, 0.5945945978164673, 0.6081081032752991, 0.5979729890823364, 0.6182432174682617, 0.6013513803482056, 0.6148648858070374, 0.625, 0.6283783912658691, 0.625, 0.6216216087341309, 0.625, 0.6283783912658691, 0.6317567825317383, 0.6182432174682617]"
