train_losses,train_accuracies,val_losses,val_accuracies
"[2.743821768533616, 0.6844655992019744, 0.27874259650707245, 0.26103318269763676, 0.3304216503387406, 0.5681486229101816, 0.5259115490175429, 0.5395011117770558, 0.4674564536128725, 0.2942636396203722, 0.274411027807565, 0.2543756345375663, 0.2388394329519499, 0.22659385780848207, 0.18650306406475248, 0.15498456287951695, 0.16315042639949492, 0.14977077678555534, 0.11170392268381658, 0.11485385087629159, 0.08502876299566456, 0.06056586154071348, 0.060704042248073076, 0.04678434656289894, 0.04193629291729026, 0.04007001502794169, 0.042350049335731284, 0.044201335836468, 0.05351419521528961, 0.04375210228525767]","[0.35113635659217834, 0.8303030133247375, 0.9303030371665955, 0.9321969747543335, 0.9053030014038086, 0.8477272987365723, 0.8522727489471436, 0.8477272987365723, 0.8712121248245239, 0.9132575988769531, 0.9189394116401672, 0.9299242496490479, 0.926893949508667, 0.939393937587738, 0.9446969628334045, 0.9575757384300232, 0.9518939256668091, 0.956818163394928, 0.970075786113739, 0.9659090638160706, 0.9742424488067627, 0.9818181991577148, 0.9803030490875244, 0.9890151619911194, 0.9897727370262146, 0.9886363744735718, 0.9909090995788574, 0.9897727370262146, 0.9886363744735718, 0.9878787994384766]","[1.586991834640503, 0.661207526922226, 0.5551132470369339, 0.7561903178691864, 2.224696600437164, 2.206684148311615, 2.1624229550361633, 1.8268985986709594, 1.8816149234771729, 1.766792857646942, 1.5369648575782775, 1.2348843693733216, 0.7749885737895965, 1.0551591277122498, 0.5957338780164718, 0.9485500574111938, 0.7349843263626099, 0.8955910116434097, 0.6553223192691803, 0.5791089773178101, 0.5354655683040619, 0.5265104308724403, 0.4885252326726913, 0.47251047790050504, 0.4503137648105621, 0.46270446926355363, 0.45118270367383956, 0.47246749699115753, 0.45749867856502535, 0.44908650070428846]","[0.537162184715271, 0.7804054021835327, 0.7972972989082336, 0.7668918967247009, 0.5675675868988037, 0.5101351141929626, 0.5574324131011963, 0.6081081032752991, 0.5540540814399719, 0.5810810923576355, 0.6520270109176636, 0.6722972989082336, 0.7770270109176636, 0.7533783912658691, 0.8209459185600281, 0.7263513803482056, 0.7837837934494019, 0.787162184715271, 0.8277027010917664, 0.8277027010917664, 0.8614864945411682, 0.837837815284729, 0.8513513803482056, 0.8547297120094299, 0.8614864945411682, 0.8682432174682617, 0.8716216087341309, 0.8581081032752991, 0.8682432174682617, 0.875]"
"[4.555679661887033, 4.14522994132269, 3.680226416814895, 3.4656496218272617, 3.351045540400914, 3.3080752974464778, 2.9960365068344843, 2.1551285669917153, 1.2421490933213915, 0.5990211807546162, 0.34112820703358876, 0.22598611421528317, 0.16756397911480495, 0.15740118885324114, 0.11970494439204533, 0.1181852783830393, 0.10720829590268079, 0.09480611363514549, 0.09054682004664626, 0.07212288342859774, 0.0899835948699287, 0.06874913539338325, 0.059452877136036045, 0.05958619653912527, 0.05197657831013203, 0.048182239855772684, 0.02628543204627931, 0.05877535483090296, 0.055429859896234814, 0.049273645372263024]","[0.053409092128276825, 0.08522727340459824, 0.11287878453731537, 0.13333334028720856, 0.14659090340137482, 0.14659090340137482, 0.22651514410972595, 0.4416666626930237, 0.6973484754562378, 0.873106062412262, 0.928787887096405, 0.9496212005615234, 0.9628787636756897, 0.9621211886405945, 0.9734848737716675, 0.9678030014038086, 0.9689394235610962, 0.9750000238418579, 0.9757575988769531, 0.9833333492279053, 0.9784091114997864, 0.9844697117805481, 0.9856060743331909, 0.9844697117805481, 0.9878787994384766, 0.9882575869560242, 0.9946969747543335, 0.9867424368858337, 0.9878787994384766, 0.9886363744735718]","[4.604191017150879, 3.9871319770812987, 3.6780187606811525, 3.5586719036102297, 3.49468731880188, 3.509104061126709, 2.8146018505096437, 1.932008957862854, 1.1011113047599792, 0.736789059638977, 0.5121114134788514, 0.4299439251422882, 0.5041546523571014, 0.39510695934295653, 0.3193976193666458, 0.36846620589494705, 0.3285007417201996, 0.3349366158246994, 0.3339875519275665, 0.41996201127767563, 0.29021725356578826, 0.3586027055978775, 0.3257194831967354, 0.3423816919326782, 0.33174543976783755, 0.333181431889534, 0.3285375893115997, 0.3221730262041092, 0.3176356375217438, 0.31195272207260133]","[0.04729729890823364, 0.05743243172764778, 0.06756756454706192, 0.07770270109176636, 0.0878378376364708, 0.08445946127176285, 0.2871621549129486, 0.4628378450870514, 0.6993243098258972, 0.7601351141929626, 0.8445945978164673, 0.8716216087341309, 0.8310810923576355, 0.8885135054588318, 0.8817567825317383, 0.8716216087341309, 0.8783783912658691, 0.8817567825317383, 0.8952702879905701, 0.8547297120094299, 0.8952702879905701, 0.8716216087341309, 0.8783783912658691, 0.8885135054588318, 0.8851351141929626, 0.8885135054588318, 0.8817567825317383, 0.8952702879905701, 0.912162184715271, 0.9020270109176636]"
"[4.0986680416833785, 3.1195830333800543, 2.463589381603968, 2.0764950457073392, 1.870247551373073, 1.8019088052567982, 1.6663731336593628, 1.1555246866884685, 0.6231763660907745, 0.31701426066103433, 0.2465950735800323, 0.2178777459831465, 0.1860005281688202, 0.18395499060196535, 0.12215701224548477, 0.11202414360429559, 0.09024677119616951, 0.10729857773653098, 0.09385240844096102, 0.07152700940856621, 0.07251592190004885, 0.07440972753933497, 0.06862877912741776, 0.0508030096784101, 0.05303090663316349, 0.050524492199266594, 0.03386637995329996, 0.028553141078667806, 0.03784918083623606, 0.03646929577336691]","[0.05151515081524849, 0.21704545617103577, 0.37727272510528564, 0.4742424190044403, 0.5522727370262146, 0.5545454621315002, 0.5878787636756897, 0.7276515364646912, 0.846969723701477, 0.9246212244033813, 0.9337121248245239, 0.9428030252456665, 0.9473484754562378, 0.9446969628334045, 0.9643939137458801, 0.9662878513336182, 0.9738636612892151, 0.9662878513336182, 0.9738636612892151, 0.9750000238418579, 0.9810606241226196, 0.9799242615699768, 0.9814394116401672, 0.9856060743331909, 0.9852272868156433, 0.9863636493682861, 0.9916666746139526, 0.9924242496490479, 0.9890151619911194, 0.989393949508667]","[3.690727424621582, 2.8473909854888917, 2.3225780963897704, 2.0872910261154174, 1.9711952924728393, 1.956472063064575, 1.6235997915267943, 1.1254731655120849, 0.7098409771919251, 0.5699969589710235, 0.42107002437114716, 0.556086964905262, 0.5662399590015411, 0.7146823823451995, 0.61276575922966, 0.5015453651547432, 0.3849053829908371, 0.42048868983983995, 0.3293467745184898, 0.5385534942150116, 0.3913281051442027, 0.43389625698328016, 0.3366583094000816, 0.2942636176943779, 0.2896831877529621, 0.2641475070267916, 0.2918590229004622, 0.28084565699100494, 0.2771468680351973, 0.27758406177163125]","[0.13513512909412384, 0.29054054617881775, 0.3952702581882477, 0.43918919563293457, 0.4797297418117523, 0.4831081032752991, 0.5777027010917664, 0.6452702879905701, 0.7702702879905701, 0.8108108043670654, 0.8547297120094299, 0.7939189076423645, 0.8209459185600281, 0.8108108043670654, 0.8175675868988037, 0.837837815284729, 0.8783783912658691, 0.875, 0.8885135054588318, 0.8614864945411682, 0.9020270109176636, 0.8716216087341309, 0.8885135054588318, 0.9155405163764954, 0.9020270109176636, 0.8986486196517944, 0.8952702879905701, 0.8952702879905701, 0.8952702879905701, 0.9020270109176636]"
